user_code,lang,sex,age,ethnicity,education,work,marital_status,task_group,agent_group,extraversion,agreeableness,conscientiousness,emotional_stability,openness,ai_trust,social_support,self_esteem,normative,continuance,affective,trust,obedience,reactance,task_1_commonality,task_2_commonality,task_3_commonality,personalization,convincing,informativeness,helpfulness,helpfulness_keywords,ai_influence_detect,comments,conv_len
P_1,zh,Female,23,Asian,Postgraduate,Full-time,Single,Financial,Neutral,6.5,1.5,4.5,4.0,3.5,43,13,37,5.5,6.25,5.75,4.5,5.75,6.5,5,5,10,7,7,4,有的，比如对于一开始详情信息中没有很好理解的地方，通过询问助手可以进一步了解产品内容，从而更好地做出决策,"helpful, informative",0,整体上做的很不错，任务明确，流程简单清晰明了，负责人也很有责任心,12.333333333333334
P_2,zh,Male,52,Asian,Undergraduate,Full-time,Married,Emotional,SEMA,4.5,0.5,6.0,6.5,4.0,39,12,31,5.75,5.75,6.5,6.25,5.0,6.0,5,8,6,8,9,8,有一定帮助，但说服性的偏向偏多，共情的偏少,helpful,1,非常优秀,10.0
P_3,zh,Female,27,Asian,Undergraduate,Full-time,Single,Financial,Neutral,5.5,2.0,2.0,1.5,4.0,35,9,24,6.75,5.0,6.75,5.75,6.0,5.5,4,4,6,9,8,9,有帮助，对我提出的问题有针对性的回答。,helpful,0,无,10.0
P_4,zh,Male,59,Asian,Undergraduate,Full-time,Married,Emotional,SEMA,5.0,0.0,6.0,6.5,6.0,47,11,33,7.0,6.5,6.75,5.5,6.25,6.75,8,4,4,10,10,10,朋友矛盾如何解决，工作有压力怎么办？,unhelpful,0,没有了。,10.0
P_5,zh,Female,35,Asian,College,Full-time,Married,Emotional,SEMA,4.0,1.5,3.5,3.0,4.5,50,11,26,7.0,4.75,5.5,6.75,7.0,6.25,7,6,2,5,4,5,有帮助，帮助调整心态,"helpful, emotion regulation",0,无,10.0
P_6,zh,Male,42,Asian,College,Full-time,Married,Emotional,MA,4.0,2.0,6.5,2.0,3.0,38,10,21,6.5,5.75,5.75,4.5,5.25,6.75,9,10,10,9,10,9,有帮助，能够减少压力，让人心情愉悦！,"helpful, reduce stress, improve mood",0,无反馈,10.0
P_7,zh,Female,26,Asian,Undergraduate,Full-time,Single,Emotional,SEMA,3.5,3.0,6.0,2.0,2.5,30,9,25,5.25,4.5,5.25,4.0,5.25,5.25,6,5,3,6,4,4,助手在舒缓焦虑方面还是有很作用的，但我感觉其实不能从根本上解决我的问题，有些道理我本来就是知道的,"helpful, reduce stress, but cannot solve problem efficiently",0,流程清晰,11.0
P_8,zh,Female,31,Asian,Postgraduate,Full-time,Married,Financial,SEMA,6.5,2.0,6.5,2.5,4.5,37,11,27,6.0,4.5,5.5,4.25,5.25,6.0,9,5,8,7,6,7,有一定帮助，可以提供一些具体信息，但是帮助不算太大,helpful,0,无,10.666666666666666
P_9,zh,Male,23,Asian,Undergraduate,Full-time,Single,Financial,MA,3.0,1.5,4.5,5.5,5.0,39,11,33,6.25,5.5,6.25,5.0,5.5,5.5,7,6,9,7,6,8,可以帮我对四个选项进行比较，根据我的需要来推荐适合我的选项，可以帮我整理四个选项的信息。,"helpful, provide analysis",0,无,10.0
P_10,zh,Female,21,Asian,Undergraduate,Part-time,Single,Emotional,MA,6.5,1.0,3.5,5.0,6.5,33,11,27,5.25,3.75,5.75,5.25,4.25,4.25,9,8,5,7,7,6,我认为对决策有帮助，具体表现在帮助我对选项进行进一步理解，并提供了不同角度的理解思路，但总体上难以改变我的看法与决策。,"helpful, provide insights, but cannot change preference",1,我认为先打分再进行对话最后二次打分的流程下，我的一部分第二次打分会因为心理作用而产生动摇，并调整分数，而不是因为与助手的沟通。,10.333333333333334
P_11,zh,Female,23,Asian,Postgraduate,Full-time,Single,Financial,Neutral,3.0,2.0,5.0,4.5,5.5,37,13,33,7.0,5.5,3.25,3.5,3.25,4.5,8,7,10,9,7,7,有帮助，比如在帮助选择减肥药时，它分析出某一选项中有额外功能的产品可能是含有合成成分的，这在我自己的考量中有些疏忽。另外，它也在类似的情况中可能分析出一些我自己在阅读选项时忽略的信息点，或者对一些具体信息进行补充说明，有利于我做出决策。,"helpful, informative, provide insights",0,无,10.666666666666666
P_12,zh,Male,31,Asian,Undergraduate,Full-time,Married,Financial,SEMA,6.5,2.0,4.5,6.5,6.0,39,12,34,4.75,5.25,3.75,5.5,5.5,5.5,10,10,10,9,7,7,高效率，省时间，帮助我更完整地了解了信息，甚至帮助我做出了更合理、合适的选择。但减肥药的选择上好像没那么客观,"helpful, efficient, save time",1,很有趣!,10.0
P_13,zh,Female,22,Asian,Undergraduate,Full-time,Single,Financial,MA,6.0,1.0,3.5,4.0,7.0,45,14,31,5.5,5.0,6.5,4.75,3.0,6.5,9,5,9,9,6,9,有很多帮助，在复杂的语境中能够快速决策，帮我排除和认知不了解的因素,"helpful, save time",0,平台系统不是很稳定...,10.333333333333334
P_14,zh,Female,26,Asian,Postgraduate,Full-time,Single,Financial,SEMA,2.5,2.0,5.0,4.5,4.0,37,12,30,6.5,4.75,5.0,4.75,5.75,5.0,7,5,5,5,4,7,少量帮助，具体表现为可比较商品价格及成本。但一直推某款有广告嫌疑会增加消费者的反感或警惕,"helpful, informative",1,消费类决策需要结合产品形象，很难靠文字描述做出贴合实际的决策,13.0
P_15,zh,Female,25,Asian,Postgraduate,Full-time,Single,Financial,MA,3.5,0.5,5.5,4.5,3.5,37,10,35,6.0,5.5,4.25,4.25,4.75,6.25,8,3,9,9,7,8,有一些帮助，能够了解不同选项的详细内容,"helpful, informative",0,很荣幸参与本次试验,10.0
